"Red","Green","Blue","Alpha","Distance"
"1217","1520","2746","1827","6.357584495013662"
"1217","1520","2746","1827","6.357584495013662"
"1217","1520","2746","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1660","6.357584495013662"
"1129","1352","2500","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1499","6.357584495013662"
"1038","1201","2259","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1722","6.357584495013662"
"1164","1411","2591","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1455","2661","1768","6.357584495013662"
"1188","1508","2661","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1508","2734","1818","6.357584495013662"
"1212","1499","2734","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1209","1499","2721","1809","6.357584495013662"
"1179","1438","2638","1751","6.357584495013662"
"1179","1438","2638","1751","6.357584495013662"
"1179","1438","2638","1751","6.357584495013662"
"1179","1438","2638","1751","6.357584495013662"
"1179","1438","2638","1751","6.357584495013662"
"1179","1438","2638","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1433","2627","1745","6.357584495013662"
"1175","1444","2627","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1444","2645","1757","6.357584495013662"
"1182","1462","2645","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1462","2672","1775","6.357584495013662"
"1191","1459","2672","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1459","2667","1772","6.357584495013662"
"1190","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1182","1443","2645","1756","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1806","6.357584495013662"
"1206","1495","2717","1756","6.357584495013662"
