"Red","Green","Blue","Alpha","Distance"
"2101","2242","3647","2663","6.357584495013662"
"2101","2242","3647","2663","6.357584495013662"
"2101","2242","3647","2663","6.357584495013662"
"2101","2368","3647","2774","6.357584495013662"
"2172","2368","3783","2774","6.357584495013662"
"2172","2368","3783","2774","6.357584495013662"
"2172","2368","3783","2774","6.357584495013662"
"2172","2368","3783","2774","6.357584495013662"
"2195","2406","3820","2807","6.357584495013662"
"2195","2406","3820","2807","6.357584495013662"
"2195","2406","3820","2807","6.357584495013662"
"2195","2406","3820","2807","6.357584495013662"
"2195","2406","3820","2814","6.357584495013662"
"2198","2414","3830","2814","6.357584495013662"
"2198","2414","3830","2814","6.357584495013662"
"2198","2414","3830","2814","6.357584495013662"
"2198","2414","3830","2814","6.357584495013662"
"2198","2414","3830","2814","6.357584495013662"
"2187","2394","3806","2795","6.357584495013662"
"2187","2394","3806","2795","6.357584495013662"
"2187","2394","3806","2795","6.357584495013662"
"2187","2394","3806","2795","6.357584495013662"
"2187","2394","3806","2795","6.357584495013662"
"2154","2360","3741","2751","6.357584495013662"
"2154","2360","3741","2751","6.357584495013662"
"2154","2360","3741","2751","6.357584495013662"
"2154","2360","3741","2751","6.357584495013662"
"2154","2360","3741","2751","24.062981776450506"
"2154","114","3741","112","24.062981776450506"
"83","114","141","112","24.062981776450506"
"83","114","141","112","24.062981776450506"
"83","114","141","112","24.062981776450506"
"83","114","141","112","42.787919786611674"
"83","114","141","104","42.787919786611674"
"87","106","119","104","42.787919786611674"
"87","106","119","104","42.787919786611674"
"87","106","119","104","42.787919786611674"
"87","106","119","104","6.357584495013662"
"87","106","119","104","6.357584495013662"
"2082","2216","3620","2639","6.357584495013662"
"2082","2216","3620","2639","6.357584495013662"
"2082","2216","3620","2639","6.357584495013662"
"2082","2216","3620","2639","6.357584495013662"
"2082","2216","3620","2639","6.357584495013662"
"2082","2275","3620","2689","6.357584495013662"
"2114","2275","3678","2689","6.357584495013662"
"2114","2275","3678","2689","6.357584495013662"
"2114","2275","3678","2689","6.357584495013662"
"2114","2275","3678","2689","6.357584495013662"
