"Red1(red1)","Green1(green1)","Blue1(blue1)","Alpha1(alpha1)","Distance1(distance1)"
"1784","1885","3541","2403","6.673561292653111"
"1784","1885","3541","2403","6.673561292653111"
"1784","1885","3541","2403","6.673561292653111"
"1784","1885","3541","2403","6.662884654079105"
"1784","1885","3541","2403","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.660221674047801"
"1783","1884","3540","2402","6.660221674047801"
"1784","1886","3543","2404","6.660221674047801"
"1784","1886","3543","2404","6.660221674047801"
"1784","1886","3543","2404","6.660221674047801"
"1784","1886","3543","2404","6.660221674047801"
"1784","1886","3543","2404","6.668218022485657"
"1784","1886","3543","2403","6.668218022485657"
"1784","1885","3541","2403","6.668218022485657"
"1784","1885","3541","2403","6.668218022485657"
"1784","1885","3541","2403","6.668218022485657"
"1784","1885","3541","2403","6.668218022485657"
"1784","1885","3541","2403","6.670888418048034"
"1784","1885","3541","2403","6.670888418048034"
"1784","1885","3540","2402","6.670888418048034"
"1783","1885","3540","2402","6.670888418048034"
"1783","1885","3540","2402","6.670888418048034"
"1783","1885","3540","2402","6.670888418048034"
"1783","1885","3540","2402","6.6575611586849"
"1783","1885","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2402","6.6575611586849"
"1783","1884","3540","2403","6.6575611586849"
"1784","1885","3541","2403","6.6575611586849"
"1784","1885","3541","2403","6.6575611586849"
"1784","1885","3541","2403","6.6575611586849"
"1784","1885","3541","2403","6.6575611586849"
"1784","1885","3541","2403","6.662884654079105"
"1784","1885","3541","2403","6.662884654079105"
"1784","1885","3541","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.662884654079105"
"1783","1884","3540","2402","6.665550102361722"
"1783","1884","3540","2402","6.665550102361722"
"1783","1885","3541","2403","6.665550102361722"
"1783","1885","3541","2403","6.665550102361722"
"1783","1885","3541","2403","6.665550102361722"
"1783","1885","3541","2403","6.665550102361722"
"1783","1885","3541","2403","6.665550102361722"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.673561292653111"
"1783","1885","3541","2403","6.668218022485657"
"1783","1885","3541","2403","6.668218022485657"
"1783","1884","3540","2402","6.668218022485657"
"1783","1884","3540","2402","6.668218022485657"
"1783","1884","3540","2402","6.668218022485657"
"1783","1884","3540","2402","6.668218022485657"
"1783","1884","3540","2402","6.676236649912301"
"1783","1884","3540","2402","6.676236649912301"
"1783","1884","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.676236649912301"
"1783","1885","3540","2402","6.673561292653111"
"1783","1885","3540","2402","6.673561292653111"
"1783","1884","3540","2402","6.673561292653111"
"1783","1884","3540","2402","6.673561292653111"
"1783","1884","3540","2402","6.673561292653111"
"1783","1884","3540","2402","6.673561292653111"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.670888418048034"
"1783","1884","3540","2402","6.681594826874543"
