"Red1(red1)","Green1(green1)","Blue1(blue1)","Alpha1(alpha1)","Distance1(distance1)"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.092928120806398"
"822","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.105491902782713"
"821","925","1928","1224","8.105491902782713"
"822","925","1928","1225","8.105491902782713"
"822","925","1928","1225","8.105491902782713"
"822","925","1928","1225","8.105491902782713"
"822","925","1928","1225","8.105491902782713"
"822","925","1928","1225","8.092928120806398"
"822","926","1928","1225","8.092928120806398"
"822","926","1929","1225","8.092928120806398"
"822","926","1929","1225","8.092928120806398"
"822","926","1929","1225","8.092928120806398"
"822","926","1929","1225","8.097111032414093"
"822","926","1929","1225","8.097111032414093"
"822","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.101298956597045"
"821","925","1928","1225","8.101298956597045"
"822","925","1928","1225","8.101298956597045"
"822","925","1928","1225","8.101298956597045"
"822","925","1928","1225","8.101298956597045"
"822","925","1928","1225","8.101298956597045"
"822","925","1928","1225","8.097111032414093"
"822","925","1928","1225","8.097111032414093"
"822","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.097111032414093"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.109689880422724"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.088750212370606"
"821","925","1928","1224","8.118100967993628"
"821","925","1928","1224","8.118100967993628"
"821","925","1929","1225","8.118100967993628"
"822","925","1929","1225","8.118100967993628"
"822","925","1929","1225","8.118100967993628"
"822","925","1929","1225","8.118100967993628"
"822","925","1929","1225","8.118100967993628"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.097111032414093"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.088750212370606"
"822","925","1929","1225","8.092928120806398"
"822","925","1929","1225","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1224","8.092928120806398"
"821","925","1928","1226","8.092928120806398"
"823","926","1931","1226","8.092928120806398"
"823","926","1931","1226","8.092928120806398"
"823","926","1931","1226","8.092928120806398"
"823","926","1931","1226","8.092928120806398"
"823","926","1931","1226","8.080409367521284"
"823","926","1931","1226","8.080409367521284"
"823","925","1928","1224","8.080409367521284"
