"Red","Green","Blue","Alpha","Distance"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","112","139","109","36.25384002064314"
"78","112","139","109","36.25384002064314"
"78","112","139","109","36.25384002064314"
"78","112","139","109","36.25384002064314"
"78","112","139","109","36.25384002064314"
"78","112","139","109","36.38935724844061"
"78","112","139","109","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.33694643642684"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","35.98628077028611"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","35.854207843323216"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.38935724844061"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.25384002064314"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.11948639254873"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.94338432994626"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","36.663946335544175"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
"77","111","137","108","35.72325257798089"
