"Red1(red1)","Green1(green1)","Blue1(blue1)","Alpha1(alpha1)","Distance1(distance1)"
"274","1003","671","649","12.479671011457576"
"274","1003","671","649","12.479671011457576"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.445569594902388"
"274","1003","671","649","12.445569594902388"
"274","1003","671","649","12.445569594902388"
"274","1003","671","649","12.445569594902388"
"274","1003","671","649","12.445569594902388"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.513989704955376"
"274","1003","671","649","12.513989704955376"
"274","1003","669","648","12.513989704955376"
"274","1003","669","648","12.513989704955376"
"274","1003","669","648","12.513989704955376"
"274","1003","669","648","12.513989704955376"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.411683305519587"
"274","1003","669","648","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1003","671","649","12.411683305519587"
"274","1002","669","648","12.411683305519587"
"273","1002","669","648","12.411683305519587"
"273","1002","669","648","12.411683305519587"
"273","1002","669","648","12.411683305519587"
"273","1002","669","648","12.411683305519587"
"273","1002","669","648","12.42295496380288"
"273","1002","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.411683305519587"
"274","1003","669","648","12.411683305519587"
"273","1001","669","647","12.411683305519587"
"273","1001","669","647","12.411683305519587"
"273","1001","669","647","12.411683305519587"
"273","1001","669","647","12.479671011457576"
"273","1001","669","647","12.479671011457576"
"274","1004","671","649","12.479671011457576"
"274","1004","671","649","12.479671011457576"
"274","1004","671","649","12.479671011457576"
"274","1004","671","649","12.479671011457576"
"274","1004","671","649","12.491086327071509"
"274","1004","671","649","12.491086327071509"
"274","1002","669","648","12.491086327071509"
"274","1002","669","648","12.491086327071509"
"274","1002","669","648","12.491086327071509"
"274","1002","669","648","12.491086327071509"
"274","1002","669","648","12.42295496380288"
"274","1002","669","648","12.42295496380288"
"274","1003","671","649","12.42295496380288"
"274","1003","671","649","12.42295496380288"
"274","1003","671","649","12.42295496380288"
"274","1003","671","649","12.42295496380288"
"274","1003","671","649","12.456912725172359"
"274","1003","671","649","12.456912725172359"
"274","1002","671","648","12.456912725172359"
"274","1002","669","648","12.456912725172359"
"274","1002","669","648","12.456912725172359"
"274","1002","669","648","12.456912725172359"
"274","1002","669","648","12.456912725172359"
"274","1002","669","648","12.491086327071509"
"274","1002","669","648","12.491086327071509"
"272","995","664","643","12.491086327071509"
"272","995","664","643","12.491086327071509"
"272","995","664","643","12.491086327071509"
"272","995","664","643","12.491086327071509"
"272","995","664","643","12.456912725172359"
"272","995","664","643","12.456912725172359"
"272","998","666","645","12.456912725172359"
"272","998","666","645","12.456912725172359"
"272","998","666","645","12.456912725172359"
"272","998","666","645","12.456912725172359"
"272","998","666","645","12.456912725172359"
"272","998","666","645","12.42295496380288"
"272","998","666","645","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.42295496380288"
"274","1003","669","648","12.4682798374844"
"274","1003","669","648","12.4682798374844"
"274","1003","669","646","12.4682798374844"
"273","999","668","646","12.4682798374844"
"273","999","668","646","12.4682798374844"
