"Red","Green","Blue","Alpha","Distance"
"1977","2096","3441","2504","6.357584495013662"
"1977","2096","3441","2504","6.357584495013662"
"1977","2096","3441","2504","6.357584495013662"
"1977","2096","3441","2504","6.357584495013662"
"1977","2163","3484","2553","6.357584495013662"
"2013","2163","3484","2553","6.357584495013662"
"2013","2163","3484","2553","6.357584495013662"
"2013","2163","3484","2553","6.357584495013662"
"2013","2163","3484","2553","6.357584495013662"
"2013","2163","3484","2553","6.357584495013662"
"2123","2347","3695","2721","6.357584495013662"
"2123","2347","3695","2721","6.357584495013662"
"2123","2347","3695","2721","6.357584495013662"
"2123","2347","3695","2721","6.357584495013662"
"2123","2347","3695","2721","6.357584495013662"
"2123","2253","3695","2638","6.357584495013662"
"2070","2253","3592","2638","6.357584495013662"
"2070","2253","3592","2638","6.357584495013662"
"2070","2253","3592","2638","6.357584495013662"
"2070","2253","3592","2638","6.357584495013662"
"2070","2253","3592","2638","6.357584495013662"
"2070","2146","3484","2545","6.357584495013662"
"2007","2146","3484","2545","6.357584495013662"
"2007","2146","3484","2545","6.357584495013662"
"2007","2146","3484","2545","6.357584495013662"
"2007","2146","3484","2545","6.357584495013662"
"2007","2146","3484","2551","6.357584495013662"
"2011","2149","3495","2551","6.357584495013662"
"2011","2149","3495","2551","6.357584495013662"
"2011","2149","3495","2551","6.357584495013662"
"2011","2149","3495","2551","6.357584495013662"
"2011","2149","3495","2551","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2553","6.357584495013662"
"2012","2149","3498","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2025","2175","3516","2572","6.357584495013662"
"2044","2209","3541","2598","6.357584495013662"
"2044","2209","3541","2598","6.357584495013662"
