"Red","Green","Blue","Alpha","Distance"
"2604","2940","4987","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2943","4992","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2942","4991","3513","6.357584495013662"
"2606","2939","4991","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2939","4986","3509","6.357584495013662"
"2603","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2600","2936","4981","3505","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2606","2943","4991","3513","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2971","5042","3550","6.357584495013662"
"2637","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2649","2986","5068","3567","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2647","2972","5053","3557","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","2992","5076","3574","6.357584495013662"
"2655","3011","5076","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2666","3011","5099","3592","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2661","2965","5085","3570","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2683","3007","5135","3608","6.357584495013662"
"2655","2982","5073","3570","6.357584495013662"
"2655","2982","5073","3570","6.357584495013662"
"2655","2982","5073","3570","6.357584495013662"
"2655","2982","5073","3570","6.357584495013662"
"2655","2982","5073","3570","6.357584495013662"
"2655","2982","5073","3570","47.47903994574603"
"2655","2982","5073","3570","47.47903994574603"
"2655","649","5073","778","47.47903994574603"
"581","649","1106","778","47.47903994574603"
"581","649","1106","778","47.47903994574603"
"581","649","1106","778","47.47903994574603"
"581","649","1106","778","47.47903994574603"
"581","649","1106","778","61.82359094593709"
"581","649","1106","778","61.82359094593709"
"581","649","1106","553","61.82359094593709"
"408","472","781","553","61.82359094593709"
"408","472","781","553","61.82359094593709"
"408","472","781","553","61.82359094593709"
"408","472","781","553","61.82359094593709"
"408","472","781","553","61.82359094593709"
"408","472","781","553","74.49948696096295"
"408","472","781","553","74.49948696096295"
"359","419","683","487","74.49948696096295"
"359","419","683","487","74.49948696096295"
"359","419","683","487","74.49948696096295"
"359","419","683","487","74.49948696096295"
"359","419","683","487","74.49948696096295"
"359","419","683","487","53.563677136624406"
"359","419","683","487","53.563677136624406"
"359","412","683","478","53.563677136624406"
"352","412","671","478","53.563677136624406"
"352","412","671","478","53.563677136624406"
"352","412","671","478","53.563677136624406"
"352","412","671","478","53.563677136624406"
"352","412","671","478","53.563677136624406"
"352","412","671","478","94.19455647245854"
"352","412","671","478","94.19455647245854"
"352","412","671","478","94.19455647245854"
"131","169","229","176","94.19455647245854"
"131","169","229","176","94.19455647245854"
"131","169","229","176","94.19455647245854"
"131","169","229","176","94.19455647245854"
"131","169","229","176","94.19455647245854"
"131","169","229","176","85.3942257965733"
"131","169","229","176","85.3942257965733"
"131","169","229","176","85.3942257965733"
"467","543","892","634","85.3942257965733"
"467","543","892","634","85.3942257965733"
"467","543","892","634","85.3942257965733"
"467","543","892","634","85.3942257965733"
"467","543","892","634","85.3942257965733"
"467","543","892","634","86.38967343228381"
"467","543","892","634","86.38967343228381"
"467","526","892","609","86.38967343228381"
"448","526","855","609","86.38967343228381"
"448","526","855","609","86.38967343228381"
"448","526","855","609","86.38967343228381"
"448","526","855","609","86.38967343228381"
"448","526","855","609","87.4124261050054"
"448","526","855","609","87.4124261050054"
"448","526","855","789","87.4124261050054"
"576","675","1117","789","87.4124261050054"
"576","675","1117","789","87.4124261050054"
"576","675","1117","789","87.4124261050054"
"576","675","1117","789","87.4124261050054"
"576","675","1117","789","53.232731269123164"
"576","675","1117","789","53.232731269123164"
"576","675","1117","1510","53.232731269123164"
"1097","1300","2135","1510","53.232731269123164"
"1097","1300","2135","1510","53.232731269123164"
"1097","1300","2135","1510","53.232731269123164"
"1097","1300","2135","1510","53.232731269123164"
"1097","1300","2135","1510","53.232731269123164"
"1097","1300","2135","1510","23.603539049386814"
"1097","1300","2135","1510","23.603539049386814"
"1418","1672","2751","1947","23.603539049386814"
"1418","1672","2751","1947","23.603539049386814"
"1418","1672","2751","1947","23.603539049386814"
"1418","1672","2751","1947","23.603539049386814"
"1418","1672","2751","1947","23.603539049386814"
"1418","1672","2751","1947","19.39380416707326"
"1418","1672","2751","1947","19.39380416707326"
"1418","1672","2751","2026","19.39380416707326"
"1535","1633","2912","2026","19.39380416707326"
"1535","1633","2912","2026","19.39380416707326"
"1535","1633","2912","2026","19.39380416707326"
"1535","1633","2912","2026","19.39380416707326"
"1535","1633","2912","2026","6.357584495013662"
"1535","1633","2912","2026","6.357584495013662"
"1535","1633","2912","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2627","6.357584495013662"
"1985","2140","3757","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2362","4059","2855","6.357584495013662"
"2144","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2351","2683","4495","3176","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2383","2649","4595","3209","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3097","6.357584495013662"
"2307","2501","4484","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","3066","6.357584495013662"
"2284","2460","4454","2979","6.357584495013662"
